"id","admin_id","date_time","function","operate"
"1330","1","29/5/2020 11:07:40","选举管理","查看"
"1331","1","29/5/2020 11:07:51","选举管理","修改"
"1332","1","29/5/2020 11:10:12","选举管理","查看"
"1333","1","29/5/2020 11:10:21","选举管理","修改"
"1334","1","29/5/2020 11:10:26","选举管理","查看"
"1335","1","29/5/2020 11:10:41","选举管理","查看"
"1336","1","29/5/2020 11:10:44","选举管理","查看"
"1337","1","29/5/2020 11:10:51","选举管理","查看"
"1338","1","29/5/2020 11:10:54","选举管理","修改"
"1339","1","29/5/2020 11:11:29","选举管理","查看"
"1340","1","29/5/2020 11:11:32","选举管理","修改"
"1341","1","29/5/2020 11:12:53","选举管理","查看"
"1342","1","29/5/2020 11:12:57","选举管理","修改"
"1343","1","29/5/2020 11:13:34","选举管理","查看"
"1344","1","29/5/2020 11:13:36","选举管理","修改"
"1345","1","29/5/2020 11:13:39","选举管理","查看"
"1346","1","29/5/2020 11:13:40","选举管理","修改"
"1347","1","29/5/2020 11:13:45","选举管理","查看"
"1348","1","29/5/2020 11:13:49","选举管理","修改"
"1349","1","29/5/2020 11:13:52","选举管理","查看"
"1350","1","29/5/2020 11:14:05","选举管理","修改"
"1351","1","29/5/2020 11:14:25","选举管理","查看"
"1352","1","29/5/2020 11:14:28","选举管理","修改"
"1353","1","29/5/2020 11:14:31","选举管理","查看"
"1354","1","29/5/2020 11:14:36","选举管理","修改"
"1355","1","29/5/2020 11:14:54","选举管理","查看"
"1356","1","29/5/2020 11:15:05","选举管理","查看"
"1357","1","29/5/2020 11:15:08","选举管理","修改"
"1358","1","29/5/2020 11:15:10","选举管理","查看"
"1359","1","29/5/2020 11:15:13","选举管理","修改"
"1360","1","29/5/2020 11:15:16","选举管理","查看"
"1361","1","29/5/2020 11:15:20","选举管理","修改"
"1362","1","29/5/2020 11:15:22","选举管理","查看"
"1363","1","29/5/2020 11:15:26","选举管理","查看"
"1364","1","29/5/2020 11:15:31","选举管理","修改"
"1365","1","29/5/2020 11:15:36","选举管理","查看"
"1366","1","29/5/2020 11:15:38","选举管理","修改"
"1367","1","29/5/2020 11:15:51","选举管理","查看"
"1368","1","29/5/2020 11:15:56","选举管理","修改"
"1369","1","29/5/2020 11:16:01","选举管理","查看"
"1370","1","29/5/2020 11:16:04","选举管理","查看"
"1371","1","29/5/2020 11:16:08","选举管理","查看"
"1372","1","29/5/2020 11:16:10","选举管理","修改"
"1373","1","29/5/2020 11:16:15","选举管理","查看"
"1374","1","29/5/2020 11:16:17","选举管理","修改"
"1375","1","29/5/2020 11:16:29","选举管理","查看"
"1376","1","29/5/2020 11:16:30","选举管理","修改"
"1377","1","29/5/2020 11:16:31","选举管理","查看"
"1378","1","29/5/2020 11:16:35","选举管理","查看"
"1379","1","29/5/2020 11:16:37","选举管理","修改"
"1380","43","29/5/2020 11:18:17","选举管理","查看"
"1381","43","29/5/2020 11:18:22","选举管理","修改"
"1382","43","29/5/2020 11:18:29","选举管理","查看"
"1383","43","29/5/2020 11:18:32","选举管理","查看"
"1384","43","29/5/2020 11:29:59","选举管理","查看"
"1385","44","29/5/2020 11:33:25","选举管理","新增"
"1386","44","29/5/2020 11:33:26","选举管理","查看"
"1387","44","29/5/2020 11:33:55","选举管理","查看"
"1388","44","29/5/2020 11:36:37","本地管理","查看"
"1389","44","29/5/2020 11:36:45","本地管理","修改"
"1390","44","29/5/2020 11:36:58","本地管理","查看"
"1391","44","29/5/2020 11:37:08","本地管理","修改"
"1392","44","29/5/2020 11:45:57","本地管理","查看"
"1393","44","29/5/2020 11:46:02","本地管理","修改"
"1394","44","29/5/2020 11:46:04","本地管理","查看"
